"filename", "language", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\app_buttons.dart", "Dart", 155, 0, 2, 20, 177
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\app_card.dart", "Dart", 121, 0, 44, 9, 174
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\app_dropdown_field.dart", "Dart", 0, 0, 107, 0, 107
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\app_text_form_field.dart", "Dart", 116, 0, 4, 6, 126
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\async_dropdown_button.dart", "Dart", 0, 0, 155, 0, 155
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\avatar_image.dart", "Dart", 0, 0, 16, 2, 18
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\bottom_sheets.dart", "Dart", 31, 0, 1, 5, 37
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\column_pro.dart", "Dart", 42, 0, 0, 4, 46
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\fund_wallet_card.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\image_selector.dart", "Dart", 62, 0, 2, 8, 72
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\indicators.dart", "Dart", 36, 0, 0, 7, 43
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\loading_widget.dart", "Dart", 16, 0, 0, 4, 20
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\log_out_dialog.dart", "Dart", 70, 0, 0, 5, 75
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\money_text_view.dart", "Dart", 51, 0, 2, 6, 59
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\pages\empty_page.dart", "Dart", 58, 0, 0, 5, 63
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\pages\error_page.dart", "Dart", 80, 0, 0, 6, 86
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\pages\icon_and_text_wideget.dart", "Dart", 29, 0, 2, 5, 36
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\pages\loading_page.dart", "Dart", 12, 0, 0, 3, 15
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\pin_input.dart", "Dart", 48, 0, 0, 7, 55
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\referral_tab.dart", "Dart", 61, 0, 20, 4, 85
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\rounded_image.dart", "Dart", 117, 0, 0, 11, 128
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\spacer.dart", "Dart", 19, 0, 3, 8, 30
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\styles.dart", "Dart", 13, 0, 0, 3, 16
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\toggle_button.dart", "Dart", 116, 0, 1, 8, 125
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\transaction_tab.dart", "Dart", 138, 0, 1, 12, 151
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\user_image.dart", "Dart", 34, 0, 1, 4, 39
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\widgets\visible_text.dart", "Dart", 54, 0, 0, 7, 61
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\resources\assets.gen.dart", "Dart", 284, 0, 56, 69, 409
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\resources\fonts.gen.dart", "Dart", 4, 0, 8, 4, 16
"Total", "-", 13023, 77, 4079, 1929, 19108
